,Unnamed: 0,mileage,first registration,power,gearbox,engine size,gears,fuel type,fuel consumption,co₂-emissions,colour,manufacturer colour,body type,type,seats,doors,country version,offer number,model code,previous owner,emission class,non-smoker vehicle,price,VAT,equipment,contact_name,contact_number,contact_address,company_name
46,mercedes-benz slk 200 kompressor xenon shz pdc klimaauto.leder,232000,2006,120,manual,"1,796 cc",5.0,gasoline,8.7 l/100 km (comb.),209 g/km (comb.),silver,blanco,convertible,used,2.0,2.0,spain,7384360,0999/263,3.0,euro 4,yes,7500,,"['air conditioning', 'Armrest', 'automatic climate control', 'cruise control', 'electrical side mirrors', 'leather steering wheel', 'light sensor', 'multi-function steering wheel', 'parking assist system sensors front', 'parking assist system sensors rear', 'power windows', 'seat heating']",sebastian kühnel,+49 (0)33205 - 353981,"pappelallee 40,
14554 seddiner see, de",sebastian's kfz-handel und service
47,opel zafira 1.7cdti family 110,197543,2015,81,manual,"1,686 cc",6.0,diesel,5.3 l/100 km (comb.),209 g/km (comb.),grey,blanco,van,used,7.0,5.0,spain,7296064,0999/263,3.0,euro 4,yes,6990,,"['air conditioning', 'electrical side mirrors', 'power windows']",contáctanos en:,+34 - 936163823,"trav. de les corts, 51-53. interior parking nou camp,
8028 barcelona, es",francisco jose alvarez rivadeneira
48,volkswagen golf 2.0tdi highline dsg,339000,2008,103,automatic,"1,968 cc",6.0,diesel,6 l/100 km (comb.),177 g/km (comb.),white,blanco,compact,used,5.0,3.0,spain,7172614,7593/aew,2.0,euro 4,yes,5900,,"['air conditioning', 'automatic climate control', 'electrical side mirrors', 'multi-function steering wheel', 'power windows', 'rain sensor', 'Sunroof', 'tinted windows']",contáctanos en:,+34 - 919378375,"c/ henares, 9,
28891 velilla de san antonio, es",ruta 66
49,renault scenic iii dynamique 1.5 dci*tempomat*navi*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,acm hobby 545 wohnwagen 2 vorb. sauber,,,,,,,,,,,,,,,,,,,,,,5450,,,,,,
51,acura rl,,,,,,,,,,,,,,,,,,,,,,5700,,,,,,
52,aixam city aixam city,,,,,,,,,,,,,,,,,,,,,,6500,,,,,,
53,austin fx4 taxi hire car fx3 engelse,,,,,,,,,,,,,,,,,,,,,,5900,,,,,,
54,bmw 320 d coupe e92 m-paket *led*xenon*tempomat*,251033,2010,135,automatic,"1,995 cc",7.0,diesel,5.3 l/100 km (comb.),140 g/km (comb.),white,alpinweiss 3,coupe,used,4.0,2.0,germany,1856,0005/auz,3.0,euro 5,yes,8499,,"['air conditioning', 'Armrest', 'automatic climate control', ' 2 zones', 'cruise control', 'electrical side mirrors', 'hill holder', 'keyless central door lock', 'leather steering wheel', 'lumbar support', 'multi-function steering wheel', 'power windows', 'rain sensor', 'start-stop system']",ein anruf zu ihrem traumwagen,+49 (0)8441 - 4744031,"pettenkoferstr. 2,
85276 pfaffenhofen an der ilm, de",myautocenter ohg
55,ford focus 1.5tdci trend+ 120,139000,2017,88,manual,"1,498 cc",6.0,diesel,3.8 l/100 km (comb.),144 g/km (comb.),white,biały,compact,used,5.0,5.0,spain,7411145,7593/aew,1.0,euro 5,yes,8800,,"['air conditioning', 'automatic climate control', 'cruise control', 'power windows', 'tinted windows']",contáctanos en:,+34 - 846643737,"erdotza etorbidea, 50,
48270 markina, es",markina motor cb
56,mercedes-benz c 200 cdi*lordosenstütze*bluetooth*sitzheizung*,312789,2008,100,automatic,"2,148 cc",6.0,diesel,6.7 l/100 km (comb.),177 g/km (comb.),grey,tenoritgrau metalliclack,sedan,used,5.0,4.0,germany,12,7593/aew,2.0,euro 4,yes,7950,,"['air conditioning', 'Armrest', 'automatic climate control', ' 2 zones', 'cruise control', 'electrical side mirrors', 'electrically adjustable seats', 'leather steering wheel', 'light sensor', 'lumbar support', 'multi-function steering wheel', 'power windows.seat heating']",arthur kuschnir,+49 (0)30 - 26475778,"neuköllner straße 234,
12357 berlin, de",autohaus maletzki gmbh
57,opel astra sports sedan ultimate plus edition 1.4 turbo manue,,,,,,,,,,,,,,,,,,,,,,9999,,,,,,
58,renault talisman 4p 1.6 dci 130cv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,abarth punto evo 1.4 multiair estetico pakket 163 pk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,acura integra gs-r,,,,,,,,,,,,,,,,,,,,,,9000,,,,,,
61,aiways beekman alfa 485 mercury 50 pk,,,,,,,,,,,,,,,,,,,,,,7950,,,,,,
62,aixam d-truck 5x auf lager! mega mopedauto microcar,,,,,,,,,,,,,,,,,,,,,,8950,,,,,,
63,alpina d3 bi-turbo tüv neu,,,,,,,,,,,,,,,,,,,,,,9800,,,,,,
64,austin-healey sprite voor onderdelen,,,,,,,,,,,,,,,,,,,,,,7750,,,,,,
65,autobianchi y10 turbo,,,,,,,,,,,,,,,,,,,,,,8900,,,,,,
66,audi a5 2.0 tdi 170cv dpf,340000,2012,130,manual,"1,968 cc",6.0,diesel,5.1 l/100 km (comb.),0 g/km (comb.),red,biały,coupe,used,4.0,2.0,spain,7281745,7593/aew,1.0,euro 5,yes,10999,,['tinted windows'],contáctanos en:,+34 - 919378551,"avenida de madrid nº27,
28500 arganda del rey, es",ft motor
67,bmw 116 116d efficient dynamics edition sport,176000,2014,85,manual,"1,598 cc",6.0,diesel,3.8 l/100 km (comb.),0 g/km (comb.),black,biały,compact,used,5.0,5.0,spain,7548175,7593/aew,1.0,euro 5,yes,12390,,"['air conditioning', 'multi-function steering wheel', 'power windows', 'rain sensor', 'start-stop system']",contáctanos en:,+34 - 842817923,"barrio adarzo, 84,
39012 peñacastillo, es",carrera automoviles vehiculos certificados
68,renault clio 1.5dci eco2 energy business 75,136272,2017,55,manual,"1,461 cc",5.0,diesel,3.6 l/100 km (comb.),4 g/km (comb.),white,indic-blau,compact,used,5.0,5.0,spain,6587752,8566/bfg,1.0,euro 6,yes,11850,,"['electrical side mirrors', 'power windows']",contáctanos en:,+34 - 868273831,"partida algezar,
30620 fortuna, es","angel paulins, s.l."
69,abarth 500 1.4 turbo 135pk ku68913,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,austin mini 850 de luxe,,,,,,,,,,,,,,,,,,,,,,11900,,,,,,
71,austin-healey sprite frogeye convertible roadster mki 1961 project,,,,,,,,,,,,,,,,,,,,,,7450,,,,,,
72,audi a6 avant 2.0 tdi ultra s-tronic eu6 leder navi xenon,,,,,,,,,,,,,,,,,,,,,,14450,,,,,,
73,ford focus st 2.0 ecoboost *navi*kamera*beh.lenk*lm*,107980,2015,184,manual,"1,999 cc",6.0,super e10 95,5.4 l/100 km (comb.),144 g/km (comb.),blue,indic-blau,sedan,used,5.0,5.0,germany,65681,8566/bfg,3.0,euro 6,yes,14790,,"['air conditioning', 'Armrest', 'automatic climate control', ' 2 zones', 'electrical side mirrors', 'electrically heated windshield', 'heated steering wheel', 'hill holder', 'leather steering wheel', 'light sensor', 'multi-function steering wheel', 'navigation system', 'parking assist system camera', 'parking assist system sensors rear', 'power windows', 'rain sensor', 'seat heating', 'split rear seats', 'start-stop system', 'tinted windows']",ihr verkaufsteam,+49 (0)3675 - 4324008,"schreberstr. 47,
96515 sonneberg, de",hommert auto zentrum gmbh
74,"mercedes-benz c 200 d automaat/leder/ zo meenemen, enkel handelaar",,,,,,,,,,,,,,,,,,,,,,14000,1.0,,,,,
75,volkswagen golf 2.0tdi advance 110kw,189500,2017,110,manual,"1,968 cc",6.0,diesel,4.3 l/100 km (comb.),4 g/km (comb.),grey,indic-blau,compact,used,5.0,5.0,spain,7184842,8566/bfg,1.0,euro 6,yes,14900,,"['air conditioning', 'automatic climate control', 'power windows', 'tinted windows']",contáctanos en:,+34 - 881280030,"porto sixto, s/n km. 607,
15621 cabanas, es",mspremium
76,9ff terex giroliftt 3318,,,,,,,,,,,,,,,,,,,,,,15000,,,,,,
77,acm,,,,,,,,,,,,,,,,,,,,,,13500,,,,,,
78,aixam e-coupe elektro fahrzeug mopedauto microcar 45km,,,,,,,,,,,,,,,,,,,,,,12950,,,,,,
79,alpine a110,,,,,,,,,,,,,,,,,,,,,,15000,,,,,,
80,"austin-healey sprite , eigenaresse sinds 1989.",,,,,,,,,,,,,,,,,,,,,,14500,,,,,,
